# RTV0_MARKET_DATA_PROVENANCE.csv
# Methodology: Read-only audit of phase7_scan_cache.json (50-symbol NIFTY_50 universe)
# and kite_instruments_cache.json as of weekend baseline 2026-08-23.
# API sources consulted (GET only): /api/live-data/scan/status, /api/live-data/health-v2,
# /api/ohlcv-cache/status, /api/universe/custom/status (all on port 8080).
# Active runtime universe: NIFTY_50, 50 symbols.
# Latest canonical scan snapshot: 2026-08-21T09:55:44Z (scan_id=8ea114ecb962).
# Market state at audit time: WEEKEND/CLOSED (IST 2026-08-23T03:38:31+05:30).
# Freshness rule: Friday snapshot classified STALE_WEEKEND_CLOSED for current-session
#   decision use, regardless of stored data_quality=LIVE (stored value preserved in notes).
# Token presence: YES only for RELIANCE (sole symbol in kite_instruments_cache.json).
# All other 49 symbols: instrument_token_present=NO.
# Price source: yfinance_daily_bars (yfinance_last_close) -- Kite LTP unavailable (no active session).
# OHLCV: local_yfinance_cache; latest_cached_date=2026-08-21; min_bars_required=120.
# No secrets, credentials, tokens, or PII are included in this file.
# No production code, config, DB, cache, or workflow was modified to produce this file.
# Generated by: read-only inventory audit agent
# Audit timestamp UTC: 2026-08-23T03:38:31Z
symbol,company_name,instrument_token_present,latest_price,price_field_used,actual_source,source_timestamp,age_at_audit,freshness_status,fallback_used,fallback_reason,signal_engine_consumed,ohlcv_latest_date,ohlcv_bar_count,minimum_bars_satisfied,scan_id,scan_action,notes
HDFCBANK,HDFC Bank Ltd,NO,725.05,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,macd_cross,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
SBIN,State Bank of India,NO,1048.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,ema_cross,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
TMPV,Tata Motors Passenger Vehicles (TMPV),NO,320.25,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,macd_cross,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
HCLTECH,HCL Technologies Ltd,NO,1318.4,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,mean_reversion,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
TATACONSUM,Tata Consumer Products Ltd,NO,1056.3,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,mean_reversion,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
SHRIRAMFIN,Shriram Finance Ltd,NO,1128.2,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,macd_cross,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
EICHERMOT,Eicher Motors Ltd,NO,8042.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,ema_cross,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
TCS,Tata Consultancy Services Ltd,NO,2298.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,mean_reversion,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
BAJFINANCE,Bajaj Finance Ltd,NO,1095.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,trend_rider,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
HEROMOTOCO,Hero MotoCorp Ltd,NO,5740.5,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,trend_rider,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
APOLLOHOSP,Apollo Hospitals Enterprise Ltd,NO,8735.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,trend_rider,2026-08-20,127,YES,8ea114ecb962,WATCH,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
M&M,Mahindra and Mahindra Ltd,NO,3424.8,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,macd_cross,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
TRENT,Trent Ltd,NO,2970.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,macd_cross,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
MARUTI,Maruti Suzuki India Ltd,NO,13809.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,macd_cross,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
DIVISLAB,Divi's Laboratories Ltd,NO,8570.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,macd_cross,2026-08-20,126,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
TITAN,Titan Company Ltd,NO,5068.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,trend_rider,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
ADANIPORTS,Adani Ports and Special Economic Zone Ltd,NO,1696.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,trend_rider,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
BRITANNIA,Britannia Industries Ltd,NO,5548.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,macd_cross,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
SBILIFE,SBI Life Insurance Company Ltd,NO,1782.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,macd_cross,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
ICICIBANK,ICICI Bank Ltd,NO,1411.9,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,ema_cross,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
SUNPHARMA,Sun Pharmaceutical Industries Ltd,NO,1904.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,ema_cross,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
ULTRACEMCO,UltraTech Cement Ltd,NO,11575.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,ema_cross,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
NESTLEIND,Nestle India Ltd,NO,1458.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,ema_cross,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
LT,Larsen and Toubro Ltd,NO,4081.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,trend_rider,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
BHARTIARTL,Bharti Airtel Ltd,NO,1941.7,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,mean_reversion,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
JSWSTEEL,JSW Steel Ltd,NO,1299.7,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,mean_reversion,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
INFY,Infosys Ltd,NO,1130.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,macd_cross,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
WIPRO,Wipro Ltd,NO,181.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,mean_reversion,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
POWERGRID,Power Grid Corporation of India Ltd,NO,264.8,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,mean_reversion,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
ITC,ITC Ltd,NO,271.65,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,mean_reversion,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
CIPLA,Cipla Ltd,NO,1438.0,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,trend_rider,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
ONGC,Oil and Natural Gas Corporation Ltd,NO,238.5,yfinance_daily_bars,local_yfinance_cache,2026-08-21T09:55:44Z,41.71h (since Friday market session 2026-08-21T09:55:44Z),STALE_WEEKEND_CLOSED,YES,Kite session not verified; kite_ltp_available=False; price from yfinance_last_close,macd_cross,2026-08-20,127,YES,8ea114ecb962,IGNORE,stored_data_quality=LIVE; market_state=WEEKEND; scan_snapshot_classified_STALE_for_current_session; universe=NIFTY_50; kite_instruments_cache_date=2026-08-09; api_build=apexquant-phase0c-20260821; paper_trading_only=true; no_live_broker_orders=true
