symbol,instrument_token,instrument_token_present,ltp,quote_source,quote_timestamp,received_timestamp,quote_age_seconds_at_baseline,reliable,fallback,synthetic,historical_ohlcv_provider,first_canonical_scan_status,verification_scope,notes
KTKBANK,2061825,true,327.65,kite_live_ltp,2026-08-24T03:50:59Z,2026-08-24T03:50:49Z,0,true,false,false,yfinance_daily_bars,NON_CERTIFYING_OPERATOR_TRIGGER,Current-session output captured from GET /api/live-data/recommendations,All fields recorded for audit only; source route spawned phase7_scan and cannot prove natural scheduling.
MAHABANK,2912513,true,80.54,kite_live_ltp,2026-08-24T03:50:59Z,2026-08-24T03:50:49Z,0,true,false,false,yfinance_daily_bars,NON_CERTIFYING_OPERATOR_TRIGGER,Current-session output captured from GET /api/live-data/recommendations,All fields recorded for audit only; source route spawned phase7_scan and cannot prove natural scheduling.
PNB,2730497,true,116.59,kite_live_ltp,2026-08-24T03:50:59Z,2026-08-24T03:50:49Z,0,true,false,false,yfinance_daily_bars,NON_CERTIFYING_OPERATOR_TRIGGER,Current-session output captured from GET /api/live-data/recommendations,All fields recorded for audit only; source route spawned phase7_scan and cannot prove natural scheduling.
UNIONBANK,2752769,true,184.41,kite_live_ltp,2026-08-24T03:50:59Z,2026-08-24T03:50:49Z,0,true,false,false,yfinance_daily_bars,NON_CERTIFYING_OPERATOR_TRIGGER,Current-session output captured from GET /api/live-data/recommendations,All fields recorded for audit only; source route spawned phase7_scan and cannot prove natural scheduling.
COALINDIA,5215745,true,409.55,kite_live_ltp,2026-08-24T03:50:59Z,2026-08-24T03:50:49Z,0,true,false,false,yfinance_daily_bars,NON_CERTIFYING_OPERATOR_TRIGGER,Current-session output captured from GET /api/live-data/recommendations,All fields recorded for audit only; source route spawned phase7_scan and cannot prove natural scheduling.
GAIL,1207553,true,173.15,kite_live_ltp,2026-08-24T03:50:59Z,2026-08-24T03:50:49Z,0,true,false,false,yfinance_daily_bars,NON_CERTIFYING_OPERATOR_TRIGGER,Current-session output captured from GET /api/live-data/recommendations,All fields recorded for audit only; source route spawned phase7_scan and cannot prove natural scheduling.
HUDCO,5331201,true,187.72,kite_live_ltp,2026-08-24T03:50:59Z,2026-08-24T03:50:49Z,0,true,false,false,yfinance_daily_bars,NON_CERTIFYING_OPERATOR_TRIGGER,Current-session output captured from GET /api/live-data/recommendations,All fields recorded for audit only; source route spawned phase7_scan and cannot prove natural scheduling.
IRCON,1276417,true,126.24,kite_live_ltp,2026-08-24T03:50:59Z,2026-08-24T03:50:49Z,0,true,false,false,yfinance_daily_bars,NON_CERTIFYING_OPERATOR_TRIGGER,Current-session output captured from GET /api/live-data/recommendations,All fields recorded for audit only; source route spawned phase7_scan and cannot prove natural scheduling.
IRFC,519425,true,87.04,kite_live_ltp,2026-08-24T03:50:59Z,2026-08-24T03:50:49Z,0,true,false,false,yfinance_daily_bars,NON_CERTIFYING_OPERATOR_TRIGGER,Current-session output captured from GET /api/live-data/recommendations,All fields recorded for audit only; source route spawned phase7_scan and cannot prove natural scheduling.
MRPL,584449,true,176.69,kite_live_ltp,2026-08-24T03:50:59Z,2026-08-24T03:50:49Z,0,true,false,false,yfinance_daily_bars,NON_CERTIFYING_OPERATOR_TRIGGER,Current-session output captured from GET /api/live-data/recommendations,All fields recorded for audit only; source route spawned phase7_scan and cannot prove natural scheduling.
NBCC,8042241,true,89.92,kite_live_ltp,2026-08-24T03:50:59Z,2026-08-24T03:50:49Z,0,true,false,false,yfinance_daily_bars,NON_CERTIFYING_OPERATOR_TRIGGER,Current-session output captured from GET /api/live-data/recommendations,All fields recorded for audit only; source route spawned phase7_scan and cannot prove natural scheduling.
NMDC,3924993,true,84.88,kite_live_ltp,2026-08-24T03:50:59Z,2026-08-24T03:50:49Z,0,true,false,false,yfinance_daily_bars,NON_CERTIFYING_OPERATOR_TRIGGER,Current-session output captured from GET /api/live-data/recommendations,All fields recorded for audit only; source route spawned phase7_scan and cannot prove natural scheduling.
NTPC,2977281,true,341.25,kite_live_ltp,2026-08-24T03:50:59Z,2026-08-24T03:50:49Z,0,true,false,false,yfinance_daily_bars,NON_CERTIFYING_OPERATOR_TRIGGER,Current-session output captured from GET /api/live-data/recommendations,All fields recorded for audit only; source route spawned phase7_scan and cannot prove natural scheduling.
PFC,3660545,true,364.1,kite_live_ltp,2026-08-24T03:50:59Z,2026-08-24T03:50:49Z,0,true,false,false,yfinance_daily_bars,NON_CERTIFYING_OPERATOR_TRIGGER,Current-session output captured from GET /api/live-data/recommendations,All fields recorded for audit only; source route spawned phase7_scan and cannot prove natural scheduling.
RECLTD,3930881,true,327.85,kite_live_ltp,2026-08-24T03:50:59Z,2026-08-24T03:50:49Z,0,true,false,false,yfinance_daily_bars,NON_CERTIFYING_OPERATOR_TRIGGER,Current-session output captured from GET /api/live-data/recommendations,All fields recorded for audit only; source route spawned phase7_scan and cannot prove natural scheduling.
RVNL,2445313,true,227.03,kite_live_ltp,2026-08-24T03:50:59Z,2026-08-24T03:50:49Z,0,true,false,false,yfinance_daily_bars,NON_CERTIFYING_OPERATOR_TRIGGER,Current-session output captured from GET /api/live-data/recommendations,All fields recorded for audit only; source route spawned phase7_scan and cannot prove natural scheduling.
SAIL,758529,true,176.58,kite_live_ltp,2026-08-24T03:50:59Z,2026-08-24T03:50:49Z,0,true,false,false,yfinance_daily_bars,NON_CERTIFYING_OPERATOR_TRIGGER,Current-session output captured from GET /api/live-data/recommendations,All fields recorded for audit only; source route spawned phase7_scan and cannot prove natural scheduling.
WIPRO,969473,true,182.11,kite_live_ltp,2026-08-24T03:50:59Z,2026-08-24T03:50:49Z,0,true,false,false,yfinance_daily_bars,NON_CERTIFYING_OPERATOR_TRIGGER,Current-session output captured from GET /api/live-data/recommendations,All fields recorded for audit only; source route spawned phase7_scan and cannot prove natural scheduling.
