Endpoint,Method,Description,Status
/api/learning-adjustments/:id/approve,POST,See route implementation in trading.ts,Active
/api/learning-adjustments/:id/reject,POST,See route implementation in trading.ts,Active
/api/learning-rollback/:version,POST,See route implementation in trading.ts,Active
/api/hypotheses/:id/approve,POST,See route implementation in trading.ts,Active
/api/hypotheses/:id/reject,POST,See route implementation in trading.ts,Active
/api/trade-evaluations,GET,See route implementation in trading.ts,Active
/api/strategies,GET,See route implementation in trading.ts,Active
/api/broker/status,GET,See route implementation in trading.ts,Active
/api/broker/health,GET,See route implementation in trading.ts,Active
/api/broker/account,GET,See route implementation in trading.ts,Active
/api/broker/mode,GET,See route implementation in trading.ts,Active
/api/broker/mode,POST,See route implementation in trading.ts,Active
/api/broker/readiness,GET,See route implementation in trading.ts,Active
/api/broker/order/preview,POST,See route implementation in trading.ts,Active
/api/broker/order/confirm1,POST,See route implementation in trading.ts,Active
/api/broker/order/confirm2,POST,See route implementation in trading.ts,Active
/api/broker/kill-switch,POST,See route implementation in trading.ts,Active
/api/broker/audit,GET,See route implementation in trading.ts,Active
/api/broker/export,GET,See route implementation in trading.ts,Active
/api/copilot/summary,GET,See route implementation in trading.ts,Active
/api/copilot/alerts/generate,POST,See route implementation in trading.ts,Active
/api/copilot/alerts,GET,See route implementation in trading.ts,Active
/api/copilot/alerts/read,POST,See route implementation in trading.ts,Active
/api/copilot/briefing,GET,See route implementation in trading.ts,Active
/api/copilot/explanations,GET,See route implementation in trading.ts,Active
/api/copilot/explain/:symbol,GET,See route implementation in trading.ts,Active
/api/copilot/why-not/:symbol,GET,See route implementation in trading.ts,Active
/api/copilot/watchlist-insights,GET,See route implementation in trading.ts,Active
/api/copilot/confidence-history,GET,See route implementation in trading.ts,Active
/api/copilot/export,GET,See route implementation in trading.ts,Active
/api/analytics/performance,GET,Full Phase 10 performance analytics payload,Active
/api/analytics/export,GET,Download analytics export (kind=json|csv|snapshot),Active
/api/review-package/generate,POST,Build the Phase Review Package ZIP,Active
/api/review-package/download,GET,Download the generated review package ZIP,Active
