Rank,Symbol,Sector,Action,OpportunityScore,Confidence,Entry,StopLoss,Target,RRRatio,Strategy,Regime,DataQuality,AllGatesPassed,Error
17,POWERGRID,ENERGY,IGNORE,25.9,24.8,280.7,273.14,292.04,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
18,COALINDIA,ENERGY,IGNORE,24.4,15.6,427.55,410.67,469.75,2.5,MACD Cross,Trending (momentum),LIVE,True,
19,NTPC,ENERGY,IGNORE,24.1,19.7,344.35,334.03,359.83,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
20,ITC,FMCG,IGNORE,23.9,19.6,276.65,270.7,285.57,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
21,BAJAJ-AUTO,AUTO,IGNORE,23.6,8.0,10323.0,9879.5,11653.5,3.0,Trend Rider,Strong uptrend,LIVE,True,
22,BAJAJFINSV,FINANCE,IGNORE,23.6,8.0,1849.6,1766.99,2097.43,3.0,Trend Rider,Strong uptrend,LIVE,True,
23,BHARTIARTL,TELECOM,IGNORE,23.6,8.0,1918.3,1844.48,2139.76,3.0,Trend Rider,Strong uptrend,LIVE,True,
24,TECHM,IT,IGNORE,23.6,8.0,1498.7,1407.1,1773.5,3.0,Trend Rider,Strong uptrend,LIVE,True,
25,TITAN,CONSUMER,IGNORE,23.6,8.0,4579.4,4405.44,5101.28,3.0,Trend Rider,Strong uptrend,LIVE,True,
26,ULTRACEMCO,INFRA,IGNORE,23.6,8.0,11812.0,11384.08,13095.76,3.0,Trend Rider,Strong uptrend,LIVE,True,
27,AXISBANK,BANKING,IGNORE,21.0,8.1,1312.3,1257.27,1477.39,3.0,Trend Rider,Strong uptrend,LIVE,True,
28,DIVISLAB,PHARMA,IGNORE,19.9,8.0,7273.0,6788.98,8241.04,2.0,Breakout Hunter,High volatility breakout,LIVE,True,
29,TCS,IT,IGNORE,19.9,8.0,2189.2,2060.39,2446.82,2.0,EMA Cross,Trending (momentum),LIVE,True,
30,LT,INFRA,IGNORE,18.0,8.0,3783.9,3668.95,3956.32,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
31,HINDALCO,METALS,IGNORE,15.4,8.1,955.8,919.02,1010.97,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
32,ADANIENT,METALS,IGNORE,11.5,0.0,3150.6,2980.53,3490.74,2.0,EMA Cross,Trending (momentum),LIVE,True,
33,ADANIPORTS,INFRA,IGNORE,11.5,0.0,1829.1,1753.83,1979.64,2.0,EMA Cross,Trending (momentum),LIVE,True,
34,APOLLOHOSP,PHARMA,IGNORE,11.5,0.0,8934.0,8652.01,9497.98,2.0,EMA Cross,Trending (momentum),LIVE,True,
35,ASIANPAINT,CONSUMER,IGNORE,11.5,0.0,2670.0,2563.4,2883.2,2.0,EMA Cross,Trending (momentum),LIVE,True,
36,BRITANNIA,FMCG,IGNORE,11.5,0.0,5315.5,5130.05,5686.4,2.0,EMA Cross,Trending (momentum),LIVE,True,
37,CIPLA,PHARMA,IGNORE,11.5,0.0,1438.0,1384.42,1545.16,2.0,EMA Cross,Trending (momentum),LIVE,True,
38,EICHERMOT,AUTO,IGNORE,11.5,0.0,7404.5,7077.15,8059.2,2.0,EMA Cross,Trending (momentum),LIVE,True,
39,GRASIM,INFRA,IGNORE,11.5,0.0,3086.1,2966.54,3325.22,2.0,EMA Cross,Trending (momentum),LIVE,True,
40,HEROMOTOCO,AUTO,IGNORE,11.5,0.0,4876.2,4672.0,5284.6,2.0,EMA Cross,Trending (momentum),LIVE,True,
41,HINDUNILVR,FMCG,IGNORE,11.5,0.0,2102.6,2024.04,2259.72,2.0,EMA Cross,Trending (momentum),LIVE,True,
42,INFY,IT,IGNORE,11.5,0.0,1076.3,1011.16,1206.58,2.0,EMA Cross,Trending (momentum),LIVE,True,
43,M&M,AUTO,IGNORE,11.5,0.0,3082.9,2939.79,3369.12,2.0,EMA Cross,Trending (momentum),LIVE,True,
44,MARUTI,AUTO,IGNORE,11.5,0.0,13583.0,12970.8,14807.4,2.0,EMA Cross,Trending (momentum),LIVE,True,
45,NESTLEIND,FMCG,IGNORE,11.5,0.0,1424.4,1366.75,1539.7,2.0,EMA Cross,Trending (momentum),LIVE,True,
46,SBILIFE,FINANCE,IGNORE,11.5,0.0,1866.4,1790.24,2018.72,2.0,EMA Cross,Trending (momentum),LIVE,True,
47,SUNPHARMA,PHARMA,IGNORE,11.5,0.0,1951.5,1888.44,2077.62,2.0,EMA Cross,Trending (momentum),LIVE,True,
48,TRENT,CONSUMER,IGNORE,11.5,0.0,2867.7,2695.29,3212.52,2.0,EMA Cross,Trending (momentum),LIVE,True,
49,LTIM,IT,IGNORE,0.0,0.0,0.0,0.0,0.0,0.0,,,UNAVAILABLE,False,Data fetch failed: No data returned for LTIM.NS
50,TATAMOTORS,AUTO,IGNORE,0.0,0.0,0.0,0.0,0.0,0.0,,,UNAVAILABLE,False,Data fetch failed: No data returned for TATAMOTORS.NS
