Research Notebook — Daily Entry,2026-07-16
State,DRAFT,Scan ID,0f4bb84525ef
Regime,SIDEWAYS,NIFTY,SIDEWAYS,BANKNIFTY,SIDEWAYS,VIX,18.0,Breadth,VERY_WEAK

Decision Journal
Symbol,Raw Signal,Final Action,Decision State,Confidence,Opportunity,Strategy,Sector,RR,Blocking Rule,User Action,User Reason,Outcome PnL
TCS,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,IT,2.0,,,,
TITAN,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,CONSUMER,2.0,,,,
TRENT,IGNORE,IGNORE,NO ACTION,0.0,11.5,EMA Cross,CONSUMER,2.0,,,,
LTIM,IGNORE,IGNORE,REJECTED BY DATA QUALITY,0.0,0.0,,IT,0.0,,,,
TATAMOTORS,IGNORE,IGNORE,REJECTED BY DATA QUALITY,0.0,0.0,,AUTO,0.0,,,,

Notes
2026-07-16T10:03:12.750260+00:00,observation,test-tag,phase18 test note
2026-07-16T12:09:05.554494+00:00,observation,test-tag,phase18 test note
2026-07-16T12:09:17.057525+00:00,observation,test-tag,phase18 test note
